食品添加剂中文名称,食品添加剂英文名称,CNS,INS,功能,质量规格标准,JECFA规格资料,备注,添加剂说明
冰乙酸（又名冰醋酸）,acetic acid,01.107,260,酸度调节剂,,,,"食品添加剂冰乙酸（又名冰醋酸）是一种有机化合物，化学式为CH₃COOH。在常温下，它为无色液体，具有强烈刺激性酸味、高溶解能力，并且熔点为16.6℃，沸点约为117.9℃。

### 使用范围：
冰乙酸主要用作食品添加剂中的酸度调节剂，在某些特定类型的食品加工过程中起到维持产品风味和稳定性的作用。具体的使用范围可以在相关食品安全标准中找到，如GB 2760-2024《食品添加剂使用标准》。

### 对人体的影响：
低浓度的冰乙酸通常是无毒的，但过量摄入会对健康造成危害。其水溶液呈弱酸性且具有腐蚀性，蒸汽对眼和鼻有刺激作用。因此，在食用含冰乙酸的食品时应遵循安全剂量规定，避免直接接触皮肤或吸入蒸气。

### 对特定人群的影响：
对于小孩、孕妇、老人等特定人群而言，冰乙酸的安全摄入量需要更加谨慎考虑。这些群体在摄入任何添加剂前均应咨询专业营养师或医生的意见，确保不会对健康产生负面影响。一般情况下，在食品添加剂的使用标准中会有针对不同人群推荐的最大允许使用量。

### 剂量控制：
食品添加剂的剂量需严格遵守相关食品安全国家标准（如GB 1886.10-2015《食品安全国家标准 食品添加剂冰乙酸》），确保在限定范围内使用，以保护消费者健康。具体的剂量标准通常会考虑食品类型、预期功能以及对不同人群的安全性。

### 总结：
冰乙酸（又名冰醋酸）作为一种重要的有机化工原料和食品添加剂，具有广泛的应用场景。合理、安全地使用这一物质对于保持食品安全至关重要。在实际应用中，应严格遵循相关标准和规定，确保剂量控制在安全范围内，以保护消费者尤其是敏感人群的健康。"
冰乙酸（低压羰基化法）,acetic acid,01.112,—,酸度调节剂,,,,"食品添加剂冰乙酸（低压羰基化法）是一种通过人工合成方法获得的化学品，主要用于酸度调节。其主要来源是采用甲醇低压羰基合成法来制备醋酸。这种方法相较于发酵法具有技术经济上的优势，并且在20世纪80年代以来被广泛应用于新建立的醋酸生产装置中。

### 适用食品范围

冰乙酸（低压羰基化法）主要用于食品加工过程中作为酸度调节剂，帮助控制和调整食品的pH值，以适应特定的生产工艺或延长食品保质期。它在多种食品类别中有应用，包括但不限于饮料、糖果、酸奶、果酱等。

### 对人体的影响

冰乙酸（低压羰基化法）在适量使用的情况下被认为是安全的。作为食品添加剂，其主要作用是调节食品的pH值，并不直接对人体产生有害影响。然而，长期或过量摄入任何化学物质都可能对健康造成潜在风险，因此应严格遵守食品安全标准中的每日允许摄入量（ADI）。

### 对特定人群的影响

- **小孩**：婴幼儿对于添加剂的敏感性较高，通常建议在食品中使用冰乙酸时遵循儿童的营养需求和安全指南。
- **孕妇**：虽然没有特殊说明，但考虑到所有化学物质可能对胎儿发育的影响风险，在孕期应避免或减少非必要添加剂的摄入。如需添加，请咨询医生或专业人士意见。
- **老人**：对于有特定健康问题的老年人而言，建议在医生指导下使用含有冰乙酸的食物产品。

### 剂量控制

根据国际食品安全标准和法规（例如FAO/WHO食品法典委员会），冰乙酸作为食品添加剂的安全范围已经确定。具体的每日允许摄入量（ADI）需遵循各国的具体规定或指导原则。通常，食品标签上会标注使用该添加剂的上限值，以确保安全摄入。

总之，冰乙酸（低压羰基化法）作为一种广泛使用的食品添加剂，在合理范围内使用是被接受和许可的，并且对大多数人群都是安全的。然而，考虑到特定个体健康状况的不同，建议在特殊情况下咨询医疗专业人士的意见。"
冰结构蛋白,ice structuring protein,00.020,—,其他,,,,"### 冰结构蛋白（Ice Structure Protein）

**定义与作用**
- **别名**：不冻蛋白质、冰组织蛋白(ISP)
- **主要功能**：阻止冰结晶形成，控制冰结晶大小。这一特性在冰淇淋生产中得到了应用，通过抑制和控制冰晶的生长来提高产品的口感和质量。

**适用食品范围**
- 主要应用于需要保持结构稳定性和外观的冷冻产品，如冰淇淋、冷冻面团等。
- 也用于生物样本（组织器官）的低温保存以维持细胞活性和功能。

**安全性与潜在风险**
- **一般使用安全**：在食品中添加冰结构蛋白被认为是安全的，因为它是蛋白质的一种形式，在人体内被广泛接受并能被分解代谢。
- 对特定群体的影响：
  - **小孩、孕妇和老人**：通常情况下，冰结构蛋白对这些群体没有特殊的风险。然而，像所有食品添加剂一样，过量摄入可能会影响消化系统或引发过敏反应。因此，建议按照食品法规中的推荐剂量使用。

**剂量与限制**
- **标准剂量**：具体的安全摄入量由食品安全监管机构（如FAO/WHO、国家食品药品监督管理局）制定。一般情况下，冰结构蛋白作为食品添加剂的使用应遵循相关法规和指导原则。
- **潜在风险**：尽管冰结构蛋白被认为安全，但过量摄入任何食品添加剂都可能对健康产生不利影响。因此，在日常饮食中应适量摄入含此类添加剂的食物。

总结来说，冰结构蛋白作为一种功能性食品添加剂，主要应用在需要保持冷冻稳定性和口感的产品中，被认为是相对安全的，但使用时仍需遵循规定剂量，并注意对特定群体（如小孩、孕妇和老人）可能的风险。"
L-丙氨酸,L-alanine,12.006,—,增味剂,,,,"**L-丙氨酸概述**

L-丙氨酸是一种天然存在的α氨基酸，分子式为C3H7NO2。在食品工业中，L-丙氨酸作为食品添加剂有着多种用途和应用。它主要用于增加食品的风味、改善口感或作为营养强化剂。

### 适用范围

1. **调味料**：在一些特殊需要添加特定酸味或改进风味的食品中，如肉类、海鲜调料等。
2. **营养补充**：作为一种氨基酸添加剂，在婴儿配方奶粉和运动补剂中用于提供蛋白质合成所需的基本氨基酸。
3. **烘焙食品**：可以作为发泡剂使用，改善面包、蛋糕的质地。

### 对人体的安全性

L-丙氨酸被认为是安全的食品添加剂。根据世界卫生组织（WHO）和国际粮农组织联合食品添加剂专家委员会（JECFA）的规定，L-丙氨酸每日允许摄入量高达每公斤体重20毫克，对人体是安全的。

### 特别人群**

1. **儿童**：对于儿童而言，一般认为L-丙氨酸也是安全的。然而，在特殊情况下，如患有特定遗传代谢病（如苯丙酮尿症）的儿童需要严格控制摄入含有特定氨基酸的食物。
2. **孕妇**：通常情况下，适量摄入L-丙氨酸是安全的，但孕妇应遵循医生或营养师的建议，并注意饮食平衡和多样化。
3. **老年人**：同样适用于健康成人，老年人在食用含L-丙氨酸的食物时无需特别顾虑。但对于有特殊疾病（如肾脏功能减退）的老人，在摄入某些食品添加剂前需咨询专业医疗人员。

### 剂量与注意事项

L-丙氨酸的具体剂量应根据食品的应用和目标群体的需求来确定。一般而言，它被用作食品增味剂时的剂量范围很广，从每100克食品中添加几毫克到几十毫克不等。对于营养补充或特定应用（如运动补给品），剂量可能更高，但必须在安全范围内。

### 总结

L-丙氨酸作为一种安全有效的食品添加剂，在多种食品中有广泛的应用。它对一般人群是安全的，但对于有特殊健康状况的人群（尤其是患有特定遗传代谢病者）或孕妇、老人等群体，应根据个人具体情况和专业建议适量摄入。在实际应用中，确保遵循食品安全标准和指导原则至关重要。"
丙二醇,propylene glycol,18.004,1520,稳定剂和凝固剂、抗结剂、乳化剂、水分保持剂、增稠剂,,,,"食品添加剂丙二醇 (1,2-丙二醇) 的情况如下：

### 适用范围：
- **不饱和聚酯、环氧树脂、聚氨酯树脂**：是这些高分子材料的重要原料，约占其总消费量的45%。
- **防冻剂**：用于替代乙二醇作为飞行器和食品中的冷却剂或防冻液。
- **表面涂料和玻璃纤维增强塑料（UPR）**：在表面涂料和增强塑料生产中广泛应用。

### 对人体的影响：
1. **健康成人**：丙二醇在肝肾功能正常的成年人中很快被分解并从血液中清除，一般不会引起中毒症状。正常摄入量下对人体较为安全。
2. **特殊人群**：
   - **患有肾病或肝病的人**：代谢过程可能较慢，导致丙二醇和乳酸在血液中的积聚，可能导致中毒症状。
   - **孕妇、儿童**：这些群体因生理机能的特定状态，可能对某些物质更敏感。摄入过多丙二醇可能会引起不适。

### 摄入量与安全标准：
- 工业级和医药级丙二醇有明确的质量标准和应用指南。通常情况下，食品中的添加量受到严格限制以确保安全性。
- 具体剂量限值可能因国家和地区食品安全法规的不同而有所差异，需要遵循具体法律法规的要求。

### 注意事项：
虽然丙二醇在大多数人群中的使用是安全的，在特定条件下或高浓度暴露下可能会对人体健康造成影响。特别是对于有特定健康状况（如肾病、肝病）、儿童和孕妇等群体，应格外注意其摄入量，并确保食品添加剂符合相关法规的安全标准。

### 结论：
丙二醇作为一种广泛应用的食品添加剂，其安全性总体上是被认可的，在合理用量下对一般人群基本无害。然而，对于特殊敏感人群（如特定疾病患者、儿童和孕妇），应对其摄入进行更加严格的控制，并确保不超过安全限制值。"
丙二醇脂肪酸酯,propylene glycol esters of fatty acids,10.020,477,乳化剂、稳定剂,,,,"### 丙二醇脂肪酸酯（Tetraglycidyl ether of bisphenol A,简称Tetraglyc）

#### 应用领域：
1. **食品添加剂**：在烘焙、糖果、冷冻食品等加工食品中作为稳定剂和乳化剂，提高产品的口感和稳定性。
2. **人造牛油**：在工业生产过程中可能会产生丙二醇脂肪酸酯（尤其是氯丙二醇脂肪酸酯），但其安全性和潜在健康风险是研究的焦点。

#### 对人体的影响：
1. **安全性争议**：丙二醇脂肪酸酯在食品中的应用有一定的安全性和毒性争议。一些研究表明，在高温加工油脂过程中可能产生致癌物，如氯丙二醇（3-MCPD）。长期或大量摄入可能导致不良健康影响。
2. **对特定人群的潜在风险**：
   - **儿童**：虽然目前没有明确证据表明丙二醇脂肪酸酯对儿童有害，但考虑到其可能产生的毒性物质，建议限制儿童的接触量。
   - **孕妇**：在孕期，由于身体和胎儿代谢系统的变化，对于任何添加剂的安全性都需要特别关注。目前的研究数据并未显示丙二醇脂肪酸酯对孕妇有直接危险，但仍推荐谨慎使用。
   - **老人**：老年人的肝脏和肾脏功能可能会随着年龄增长而降低，这可能影响了他们处理和清除某些化学物质的能力。因此，对于老年消费者来说，食品添加剂的安全性尤其需要关注。

#### 剂量及安全性：
- 根据《食品安全国家标准食品添加剂使用标准(GB 2760-2014)》，丙二醇脂肪酸酯作为食品添加剂时，有明确的使用限量规定。例如，在面制品中的最大使用量存在争议或建议，具体用量应遵循相关法规和指南。
- 在工业应用中，尤其是人造牛油加工过程中产生的丙二醇脂肪酸酯（如氯丙二醇脂肪酸酯），其安全性研究仍在进行之中，需要进一步评估对人体健康的影响。

### 总结：
丙二醇脂肪酸酯作为一种食品添加剂，在提高食品的稳定性和口感方面有重要作用。然而，其在高热处理过程中可能产生的潜在致癌物等问题引起了关注和研究。对儿童、孕妇和老人等特定人群的安全性需特别考虑，并建议遵循食品安全标准中的规定用量。消费者应了解相关风险与限制，以做出更健康的选择。"
丙酸及其钠盐、钙盐（包括丙酸，丙酸钠，丙酸钙）,"propionic acid, sodium propionate, calcium propionate","17.029,17.006,17.005",280281282,防腐剂,,,,"### 丙酸及其钠盐、钙盐的概述：

#### 使用范围和最大使用量：
- 根据中国食品安全国家标准 GB 2760，丙酸及其钠盐、钙盐作为防腐剂，在豆类制品、面包、糕点、醋、酱油等食品中允许的最大使用量为每千克2.5克（以丙酸计）。

#### 防腐性能：
- 和其他常见的防腐剂如苯甲酸钠、丙酸钙和山梨酸钾相比，脱氢乙酸钠的适用范围更为广泛，在pH值4到8的范围内均有较强的防霉效果。这意味着它在更广泛的pH环境中均能发挥其功效。

#### 产品介绍：
- **丙酸钙**（CAS NO: 4075-81-4）作为一种食品添加剂，主要用途包括面粉制品、新馅饼面团等。在面包中通常使用钙盐，在西点中则使用钠盐。
  
### 安全性评估：

#### 对人体的潜在影响：
- 在规定的使用量范围内，丙酸及其钠盐和钙盐被认为对一般人群安全。它们作为防腐剂的主要目的是防止食品变质，并不直接对人体造成伤害。

#### 儿童、孕妇和老年人的影响：
- 根据现有的食品安全标准，这些添加剂在推荐的使用量下被认为是低风险的。然而，对于特定敏感人群（如儿童、孕妇和老人），由于其免疫系统或健康状况可能不同，建议关注食品标签，确保合规的添加量，并在必要时咨询医生。

#### 剂量限制：
- **剂量**是关键因素，在规定的使用范围内，丙酸及其钠盐、钙盐对人体的影响被认为是可以接受的。超出推荐使用量可能会增加安全性问题的风险。
  
### 总结：

丙酸及其钠盐和钙盐作为食品防腐剂，在多种食品中都有广泛的应用，包括面包、糕点、豆类制品、酱油等。它们在规定的剂量范围内被认为是安全的，并不直接对人体健康构成威胁。对于特定敏感人群（如儿童、孕妇和老年人），应遵循食品标签上的建议使用量，并在必要时咨询专业医疗意见。

请记得，在食品安全上，选择和消费时务必关注食品包装上的成分说明以及相关推荐使用标准。"
茶多酚（又名维多酚，简称“TP”）,tea polyphenol (TP),04.005,—,抗氧化剂,,,,"茶多酚（又名维多酚，简称“TP”）是一种存在于茶叶中的天然抗氧化剂，主要成分是儿茶素类、黄酮及黄酮醇类、花青素类、酚酸及缩酚酸类和聚合酚类等化合物。其在食品行业中被广泛使用。

### 适用范围：

1. **健康功能食品**：茶多酚因其强效的抗氧化能力，常用于制作具有增强免疫力、抗衰老等功能的健康食品。
2. **饮料加工**：作为天然防腐剂添加于茶饮、果汁、咖啡等饮品中，以延长其保质期和防止氧化变色。
3. **保健食品**：在保健品中加入茶多酚成分，以提供抗氧化、降血脂、抗菌等多种健康益处。

### 对人体的影响：

1. **一般人群**：适量摄入茶多酚对大多数人是安全的。研究显示，茶多酚具有很强的抗氧化性，能够清除体内的自由基，对抗氧化损伤有积极作用。
2. **特定人群**：
   - **小孩**：虽然没有特别的研究针对儿童，但考虑到大多数抗氧化剂的安全性问题，建议在医生或营养师指导下使用含有茶多酚的产品，特别是对于婴幼儿。
   - **孕妇**：目前关于孕期是否安全的证据尚不充分。一些研究表明，适量摄入茶多酚可能有益于健康（如提高胎儿的认知发展），但也有可能影响孕妇自身的新陈代谢和激素平衡。建议在咨询医生或专业人士后使用。
   - **老人**：对于老年人来说，抗氧化剂可以帮助维护心血管健康、降低慢性疾病的风险。然而，高剂量的茶多酚摄入可能会干扰某些药物的吸收或产生不良反应，因此应谨慎并遵循推荐剂量。

### 剂量与安全性：

- 一般建议的每日摄入量未有统一标准，但大多数研究和指南倾向于认为，每天摄入200到300毫克的总儿茶素（包括EGCG）是安全且可能有益健康的。然而，对于特定人群或敏感个体，应根据个人健康状况、体重等因素调整剂量。
- 超过推荐剂量可能导致副作用，如胃部不适、恶心、腹泻等，特别是高浓度下长期摄入。

### 总结：

茶多酚作为一种天然抗氧化剂，在食品工业中有广泛的应用。其对人体的益处主要表现在抗氧化作用上，有助于预防氧化应激引起的慢性疾病。然而，针对特定人群（如孕妇和儿童）的具体安全性信息有限，因此在使用含有茶多酚的产品时，特别是高浓度或长期摄入时，应当谨慎，并遵循专业人士的建议。安全有效的使用剂量通常建议不超过每日200至300毫克总儿茶素。"
茶多酚棕榈酸酯,tea polyphenol palmitate,04.021,—,抗氧化剂,,,,"食品添加剂名称：茶多酚棕榈酸酯（Tocopherol Palmitate）

### 适用范围：

茶多酚棕榈酸酯作为抗氧化剂，主要用于肉制品加工中。在肉类和其他易氧化的食品中使用，以防止或延缓食物氧化变质，提高食品的保质期和品质。

### 对人体的影响：

茶多酚棕榈酸酯通常被认为是安全的食品添加剂，被广泛应用于多种食品中。根据食品安全国家标准（GB 1886.360-2022），其允许使用在肉制品加工过程中。一般情况下，合理的添加量不会对人体健康造成危害。

### 对特定人群的影响：

对于小孩、孕妇和老人等特殊群体，由于他们可能对某些添加剂更敏感或有更高的营养需求，建议遵循食品标签上的指导用量，并注意是否有过敏史或其他健康限制情况。通常来说，在标准推荐的使用范围内，茶多酚棕榈酸酯对于这些群体也是安全的。

### 剂量：

具体的剂量需要参考食品安全国家标准和实际应用中的推荐值。在肉制品加工中，其添加量通常是基于食品的总质量来计算的，例如，可能按照0.01%、0.02%、0.03%等比例添加。确切的使用量应该根据具体的产品要求及生产商的指导进行。

### 总结：

茶多酚棕榈酸酯作为食品添加剂，在合理范围内使用是安全的，适用于包括肉制品在内的多种食品以延长保质期和防止氧化。对于特定人群（如小孩、孕妇、老人）来说，在标准推荐的用量下通常不会引起健康问题。然而，在实际应用中应遵循食品安全国家标准及生产商的指导，确保食用安全性。"
茶黄素,theaflavins,04.023,—,抗氧化剂,,,,"### 茶黄素情况总结：

#### 1. **定义与来源**：
茶黄素（Theaflavin）是一种存在于黄茶、红茶中，由茶叶发酵过程产生的金黄色色素。它属于一类能溶于乙酸乙酯的化合物。

#### 2. **适用食品**：
- 主要出现在红茶中，部分存在黄茶中。
- 茶叶提取物通常用于增强饮品的颜色和风味。

#### 3. **对人体的影响**：
- **健康功效**：被广泛认为具有抗氧化、调节血脂、降血糖、抗病毒、抗炎、降尿酸、抗菌、抗肿瘤等药理作用。是茶叶内的一种天然活性成分。
- **安全性**：作为食品添加剂，茶黄素被认为相对安全，但在高剂量摄入时可能引起一些副作用（如胃部不适）。

#### 4. **对特定人群的影响**：
- **小孩和孕妇**：目前关于茶黄素对儿童或孕妇影响的研究较少。一般认为在正常推荐使用量内对这些群体是安全的。
- **老人**：老年人可以安全食用含茶黄素的产品，但建议避免过量摄入以减少潜在的胃部不适或其他健康风险。

#### 5. **剂量与安全性**：
- 茶叶中的天然含量通常较低，在日常饮茶时（例如每天3-4杯）通常不会超过推荐的安全剂量。
- 某些研究或产品可能使用了高度浓缩的茶黄素，这时需要关注每日摄入量，避免过量。

### 结论：
茶黄素作为茶叶中的天然成分之一，对人体具有一定的健康益处。在合理摄入、遵循食品标签指引的情况下，通常被认为是安全的添加剂。对于特定人群（如儿童、孕妇和老人），在日常饮食中适量饮用含茶黄素的饮品通常是可接受的。然而，在高浓度或过量情况下，可能引起一些副作用，如胃部不适等。因此，在使用任何含有茶黄素的产品时，建议参考产品说明，并注意个人健康状况。"
5’-呈味核苷酸二钠（又名呈味核苷酸二钠）,disodium 5'-ribonucleotide,12.004,635,增味剂,,,,"食品添加剂名称：5’-呈味核苷酸二钠（又名呈味核苷酸二钠）

### 适用范围：
- 增味剂，广泛应用于各种需要增加鲜味的食物中。例如酱油、调味品、肉类制品、烘焙产品等。

### 安全性与潜在危害：
1. **安全性**：5’-呈味核苷酸二钠是一种在食品工业中常用的增味剂，并被归类为GRAS（一般认为是安全的）物质，这意味着它通常被认为是安全的。根据GB 2760《食品安全国家标准 食品添加剂使用标准》规定，在符合最大允许用量的情况下使用，对人体健康没有直接的不良影响。
   
2. **特定人群**：对于儿童、孕妇和老人等特定人群而言，虽然5’-呈味核苷酸二钠通常被认为是安全的食品添加剂，但若存在对任何食品成分过敏或特殊健康状况（如痛风患者）的人群，在食用添加该物质的食物时应谨慎。例如，有研究指出过量摄入含肌苷酸和鸟苷酸类化合物的食物可能与痛风发作有关联。

### 使用剂量：
- 在食品中的使用是有限制的，并由食品安全标准规定。在中国，5’-呈味核苷酸二钠的最大允许使用量为≤1.0g/kg（以干物质计）。
  
在实际应用中，遵循食品添加剂的合法使用规定和建议摄入量对于确保安全食用至关重要。

### 总结：
5’-呈味核苷酸二钠是一种有效的增味剂，在符合食品安全标准下使用被认为是安全的。然而，特定人群如儿童、孕妇及老人在饮食时应特别注意，并根据个人健康状况合理摄入。长期过量摄入可能对某些敏感个体产生不利影响，特别是与痛风等疾病相关的风险。因此，在日常生活中适量食用添加有5’-呈味核苷酸二钠的食物是安全的。"
